# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 20 08:11:24 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum > 1)
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_instrument: Discovery Instrument
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_orbtper:     Epoch of Periastron [days]
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_projobliq:   Projected Obliquity [deg]
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_gaiamag
GJ 887 b,GJ 887,1,2,Radial Velocity,2020,HARPS Spectrograph,9.26200000,0.068000,1.880,0.168,4.20000,0.01321,Msini,3.470000,0.000000,7.95,468,,,0,,,,,,,,,2.100,,,M1 V,3688.00,0.47,0.49,-0.060,[Fe/H],-1.434,4.78,2.880,6.05563,2.5000,,8.17,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.2900000,6.5219900
GJ 887 c,GJ 887,1,2,Radial Velocity,2020,HARPS Spectrograph,21.78900000,0.120000,2.670,0.238,7.60000,0.02391,Msini,2.190000,,2.56,352,,,0,,,,,,,,,2.800,,,M1 V,3688.00,0.47,0.49,-0.060,[Fe/H],-1.434,4.78,2.880,6.05563,2.5000,,8.17,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.2900000,6.5219900
GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,HIRES Spectrometer,11.44070000,0.072000,1.550,0.139,3.03000,0.00953,Msini,4.470000,0.094000,,550,,2455783.630000,0,,,,,,,,55.0000,1.680,,,M1,3607.00,0.38,0.38,-0.340,[Fe/H],-1.655,4.87,,8.37411,1.0900,,11.30,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.5622800,7.2162000
GJ 15 A c,GJ 15 A,2,2,Radial Velocity,2018,HARPS-N Spectrograph,7600.00000000,5.400000,6.670,0.595,36.00000,0.11327,Msini,0.667000,0.270000,,,,,0,,,,,,,,-58.4000,2.500,,,M1,3607.00,0.38,0.38,-0.340,[Fe/H],-1.655,4.87,,8.37411,1.0900,,11.30,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.5622800,7.2162000
tau Cet e,tau Cet,1,4,Radial Velocity,2017,Multiple Instruments,162.87000000,0.538000,1.810,0.161,3.93000,0.01237,Msini,3.640000,0.180000,,,,,0,,,,,,,,22.3500,0.550,,,G8.5V,5310.00,0.83,0.78,-0.520,[Fe/H],-0.305,4.52,12.120,2.24358,1.8000,34.50,-17.10,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.6030400,3.2485400
tau Cet f,tau Cet,1,4,Radial Velocity,2017,Multiple Instruments,636.13000000,1.334000,1.810,0.161,3.93000,0.01237,Msini,3.640000,0.160000,,,,,0,,,,,,,,119.7500,0.350,,,G8.5V,5310.00,0.83,0.78,-0.520,[Fe/H],-0.305,4.52,12.120,2.24358,1.8000,34.50,-17.10,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.6030400,3.2485400
tau Cet g,tau Cet,1,4,Radial Velocity,2017,Multiple Instruments,20.00000000,0.133000,1.180,0.105,1.75000,0.00551,Msini,5.850000,0.060000,,,,,0,,,,,,,,395.3410,0.490,,,G8.5V,5310.00,0.83,0.78,-0.520,[Fe/H],-0.305,4.52,12.120,2.24358,1.8000,34.50,-17.10,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.6030400,3.2485400
tau Cet h,tau Cet,1,4,Radial Velocity,2017,Multiple Instruments,49.41000000,0.243000,1.190,0.106,1.83000,0.00576,Msini,5.970000,0.230000,,,,,0,,,,,,,,7.4500,0.390,,,G8.5V,5310.00,0.83,0.78,-0.520,[Fe/H],-0.305,4.52,12.120,2.24358,1.8000,34.50,-17.10,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.6030400,3.2485400
GJ 1061 b,GJ 1061,1,3,Radial Velocity,2020,HARPS Spectrograph,3.20400000,0.021000,1.100,0.098,1.37000,0.00431,Msini,5.660000,0.310000,3.80,,,,0,,,,,,,2458300.610000,145.0000,2.430,,,M5.5 V,2953.00,0.16,0.12,-0.080,[Fe/H],-2.770,5.16,7.000,47.56190,2.5000,,1.06,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.6727800,10.9889000
GJ 1061 c,GJ 1061,1,3,Radial Velocity,2020,HARPS Spectrograph,6.68900000,0.035000,1.180,0.105,1.74000,0.00547,Msini,5.820000,0.290000,1.40,,,,0,,,,,,,2458300.200000,88.0000,2.480,,,M5.5 V,2953.00,0.16,0.12,-0.080,[Fe/H],-2.770,5.16,7.000,47.56190,2.5000,,1.06,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.6727800,10.9889000
